Rk,Player,Age,Team,Pos,G,GS,Tgt,Rec,Yds,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,Awards,-9999
1,Ja'Marr Chase,24,CIN,WR,17,16,175,127,1708,75,921,7.3,787,6.2,8.7,11,11.5,9,5.1,7,118.9,PBAP-1AP MVP-8AP OPoY-3,ChasJa00
2,Amon-Ra St. Brown,25,DET,WR,17,17,141,115,1263,73,851,7.4,412,3.6,7.7,3,38.3,4,2.8,1,129.4,PBAP-1AP OPoY-11,StxxAm00
5,Malik Nabers,21,NYG,WR,15,13,170,109,1204,55,742,6.8,462,4.2,9.1,8,13.6,9,5.3,2,93.8,PBAP ORoY-5,NabeMa00
6,Justin Jefferson,25,MIN,WR,17,17,154,103,1533,62,1046,10.2,487,4.7,10.9,5,20.6,5,3.2,5,107.4,PBAP-1AP OPoY-7,JeffJu00
7,CeeDee Lamb,25,DAL,WR,15,15,152,101,1194,54,657,6.5,537,5.3,7.6,11,9.2,7,4.6,6,86.9,PBAP-2,LambCe00
8,Garrett Wilson,24,NYJ,WR,17,17,154,101,1104,60,662,6.6,442,4.4,9.1,7,14.4,7,4.5,5,88.2,,WilsGa00
9,Drake London,23,ATL,WR,17,17,158,100,1271,67,944,9.4,327,3.3,10.9,6,16.7,5,3.2,8,86.2,,LondDr00
10,Jaxon Smith-Njigba,22,SEA,WR,17,16,137,100,1130,57,653,6.5,477,4.8,8.7,4,25.0,5,3.6,4,99.7,PB,SmitJa06
11,D.J. Moore,27,CHI,WR,17,17,140,98,966,43,378,3.9,588,6.0,7.5,5,19.6,3,2.1,3,94.5,,MoorD.00
13,Wan'Dale Robinson,23,NYG,WR,17,7,140,93,699,36,338,3.6,361,3.9,4.8,9,10.3,6,4.3,2,79.4,,RobiWa01
14,Jerry Jeudy,25,CLE,WR,17,16,145,90,1229,57,842,9.4,387,4.3,11.1,0,,13,9.0,3,89.7,PB,JeudJe00
16,Jakobi Meyers,28,LVR,WR,15,15,129,87,1027,52,734,8.4,293,3.4,9.6,4,21.8,1,0.8,3,92.1,,MeyeJa01
17,Brian Thomas,22,JAX,WR,17,16,133,87,1282,53,720,8.3,562,6.5,11.4,0,,7,5.3,5,106.2,PBAP ORoY-4,ThomBr06
18,Davante Adams,32,2TM,WR,14,14,141,85,1063,49,590,6.9,473,5.6,8.2,7,12.1,6,4.3,3,93.8,,AdamDa01
18,Davante Adams,32,LVR,WR,3,3,27,18,209,10,164,9.1,45,2.5,9.6,0,,1,3.7,1,86.8,,AdamDa01
18,Davante Adams,32,NYJ,WR,11,11,114,67,854,39,426,6.4,428,6.4,7.9,7,9.6,5,4.4,2,95.4,,AdamDa01
19,Ladd McConkey,23,LAC,WR,16,14,112,82,1149,52,759,9.3,390,4.8,9.9,10,8.2,5,4.5,1,123.0,AP ORoY-9,McCoLa00
20,Terry McLaurin,29,WAS,WR,17,17,117,82,1096,56,804,9.8,292,3.6,13.4,2,41.0,4,3.4,1,133.0,PBAP-2,McLaTe00
21,Tyreek Hill,30,MIA,WR,17,17,123,81,959,54,667,8.2,292,3.6,11.4,1,81.0,2,1.6,3,95.5,,HillTy00
22,Courtland Sutton,29,DEN,WR,17,13,135,81,1081,57,902,11.1,179,2.2,13.2,1,81.0,9,6.7,6,86.7,,SuttCo00
23,Puka Nacua,23,LAR,WR,11,11,106,79,990,47,472,6.0,518,6.6,7.9,10,7.9,1,0.9,1,108.6,,NacuPu00
26,Jauan Jennings,27,SFO,WR,15,10,113,77,975,47,737,9.6,238,3.1,9.9,5,15.4,5,4.4,3,101.5,,JennJa00
27,Khalil Shakir,24,BUF,WR,15,9,100,76,821,35,224,2.9,597,7.9,5.5,6,12.7,1,1.0,1,108.8,,ShakKh00
28,Mike Evans,31,TAM,WR,14,14,110,74,1004,53,778,10.5,226,3.1,11.6,2,37.0,4,3.6,5,110.6,PB,EvanMi00
29,Zay Flowers,24,BAL,WR,17,15,116,74,1059,48,596,8.1,463,6.3,10.0,7,10.6,6,5.2,0,104.8,PB,FlowZa00
30,Tee Higgins,25,CIN,WR,12,9,109,73,911,48,683,9.4,228,3.1,9.8,7,10.4,3,2.8,1,119.5,,HiggTe00
31,Josh Downs,23,IND,WR,14,8,107,72,803,40,407,5.7,396,5.5,6.9,3,24.0,5,4.7,3,93.3,,DownJo00
32,Keenan Allen,32,CHI,WR,15,15,121,70,744,43,504,7.2,240,3.4,9.0,1,70.0,6,5.0,0,95.2,,AlleKe00
33,Michael Pittman Jr.,27,IND,WR,16,14,111,69,808,35,549,8.0,259,3.8,11.0,3,23.0,1,0.9,4,78.2,,PittMi01
34,Nico Collins,25,HOU,WR,12,12,99,68,1006,48,641,9.4,365,5.4,10.7,2,34.0,3,3.0,5,104.2,PB,CollNi00
36,DeVonta Smith,26,PHI,WR,13,13,89,68,833,42,534,7.9,299,4.4,9.1,0,,2,2.2,3,120.7,,SmitDe07
37,A.J. Brown,27,PHI,WR,13,13,97,67,1079,51,726,10.8,353,5.3,12.1,9,7.4,0,0.0,2,121.5,AP-2,BrowAJ00
38,Cooper Kupp,31,LAR,WR,12,11,100,67,710,28,441,6.6,269,4.0,7.5,2,33.5,2,2.0,0,107.5,,KuppCo00
39,Demario Douglas,24,NWE,WR,17,7,87,66,621,31,262,4.0,359,5.4,5.9,2,33.0,7,8.0,2,97.0,,DougDe00
42,D.K. Metcalf,27,SEA,WR,15,12,108,66,992,35,729,11.0,263,4.0,13.1,3,22.0,4,3.7,2,99.0,,MetcDK00
45,Darnell Mooney,27,ATL,WR,16,16,106,64,992,48,717,11.2,275,4.3,12.2,6,10.7,6,5.7,2,99.3,,MoonDa00
47,Calvin Ridley,30,TEN,WR,17,14,120,64,1017,40,786,12.3,231,3.6,15.3,4,16.0,6,5.0,4,79.1,,RidlCa00
48,Jordan Addison,22,MIN,WR,15,15,99,63,875,39,662,10.5,213,3.4,13.0,3,21.0,2,2.0,2,113.8,,AddiJo00
49,Marvin Harrison Jr.,22,ARI,WR,17,16,116,62,885,43,737,11.9,148,2.4,13.4,0,,5,4.3,4,87.0,,HarrMa09
50,Ray-Ray McCloud,28,ATL,WR,17,13,87,62,686,29,351,5.7,335,5.4,6.8,1,62.0,3,3.4,3,83.8,,McClRa00
51,Elijah Moore,24,CLE,WR,17,13,102,61,538,25,405,6.6,133,2.2,9.3,1,61.0,5,4.9,8,44.5,,MoorEl00
56,George Pickens,23,PIT,WR,14,12,103,59,900,37,685,11.6,215,3.6,13.3,4,14.8,6,5.8,2,87.8,,PickGe00
57,Xavier Worthy,21,KAN,WR,17,13,98,59,638,36,231,3.9,407,6.9,9.2,0,,7,7.1,2,91.3,,WortXa00
58,Jaylen Waddle,26,MIA,WR,15,15,83,58,744,38,508,8.8,236,4.1,10.0,0,,8,9.6,3,90.6,,WaddJa00
59,Jameson Williams,23,DET,WR,15,11,91,58,1001,41,504,8.7,497,8.6,11.2,2,29.0,3,3.3,3,112.9,AP CPoY-19,WillJa11
61,DeAndre Hopkins,32,2TM,WR,16,8,80,56,610,35,501,8.9,109,1.9,10.4,3,18.7,2,2.5,2,102.6,,HopkDe00
61,DeAndre Hopkins,32,TEN,WR,6,3,21,15,173,10,172,11.5,1,0.1,10.2,2,7.5,1,4.8,2,72.2,,HopkDe00
61,DeAndre Hopkins,32,KAN,WR,10,5,59,41,437,25,329,8.0,108,2.6,10.4,1,41.0,1,1.7,0,113.5,,HopkDe00
63,Quentin Johnston,23,LAC,WR,15,11,91,55,711,32,405,7.4,306,5.6,10.8,8,6.9,7,7.7,1,109.7,,JohnQu02
64,Jayden Reed,24,GNB,WR,17,10,75,55,857,29,477,8.7,380,6.9,9.1,3,18.3,9,12.0,0,137.5,,ReedJa03
66,Rome Odunze,22,CHI,WR,17,12,101,54,734,37,481,8.9,253,4.7,13.9,4,13.5,6,5.9,1,82.7,,OdunRo00
72,Tank Dell,25,HOU,WR,14,10,81,51,667,35,503,9.9,164,3.2,12.5,3,17.0,6,7.4,3,85.8,,DellNa00
74,Deebo Samuel,28,SFO,WR,15,15,81,51,670,28,249,4.9,421,8.3,6.6,8,6.4,6,7.4,1,96.2,,SamuDe00
77,Chris Godwin,28,TAM,WR,7,7,62,50,576,33,226,4.5,350,7.0,5.7,4,12.5,2,3.2,1,125.5,,GodwCh00
80,Xavier Legette,23,CAR,WR,16,13,84,49,497,27,385,7.9,112,2.3,12.3,2,24.5,7,8.3,1,86.3,,LegeXa00
